benchmark,strategy,sub_dataset,n,metric,value,source_csv
D.CR,a_mem,factconsolidation_mh_64k,100,substring_exact_match,0.02,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,f1,0.023705411474934802,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,rougeL_f1,0.025745878235239942,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,rougeL_recall,0.0495,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,rougeLsum_f1,0.025745878235239942,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_64k,100,rougeLsum_recall,0.0495,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,exact_match,0.02,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,substring_exact_match,0.05,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,f1,0.027508310871518414,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,rougeL_f1,0.027152905264669968,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,rougeL_recall,0.06033333333333333,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,rougeLsum_f1,0.027152905264669968,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_mh_6k,100,rougeLsum_recall,0.06033333333333333,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,exact_match,0.05,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,substring_exact_match,0.11,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,f1,0.07381108554883509,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,rougeL_f1,0.07452503510220372,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,rougeL_recall,0.15333333333333335,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,rougeLsum_f1,0.07452503510220372,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_262k,100,rougeLsum_recall,0.15333333333333335,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,exact_match,0.2,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,substring_exact_match,0.28,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,f1,0.23759327459989785,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,rougeL_f1,0.23517912887775022,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,rougeL_recall,0.3183333333333333,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,rougeLsum_f1,0.23517912887775022,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_32k,100,rougeLsum_recall,0.3183333333333333,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,exact_match,0.2,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,substring_exact_match,0.26,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,f1,0.22456570156798353,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,rougeL_f1,0.22510353290772225,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,rougeL_recall,0.2786666666666666,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,rougeLsum_f1,0.22510353290772225,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_64k,100,rougeLsum_recall,0.2786666666666666,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,exact_match,0.34,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,substring_exact_match,0.45,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,f1,0.37255245485508637,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,rougeL_f1,0.37263362748362744,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,rougeL_recall,0.455,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,rougeLsum_f1,0.37263362748362744,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,factconsolidation_sh_6k,100,rougeLsum_recall,0.455,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,exact_match,0.1025,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,substring_exact_match,0.15125,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,f1,0.12244881569196257,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,rougeL_f1,0.1226584666938802,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,rougeL_recall,0.17460416666666667,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,rougeLsum_f1,0.1226584666938802,results/runs/d_cr_a_mem_scores.csv
D.CR,a_mem,GLOBAL (weighted),800,rougeLsum_recall,0.17460416666666667,results/runs/d_cr_a_mem_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,exact_match,0.0,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,substring_exact_match,0.02,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,f1,0.004816339869281046,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,rougeL_f1,0.004952107959456744,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,rougeL_recall,0.03833333333333334,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_262k,100,rougeLsum_f1,0.004952107959456744,results/runs/d_cr_no_memoria_scores.csv
