benchmark,sub_dataset,metric,n,a_mem,no_memoria,delta_a_mem_minus_no_memoria
D.TTL,icl_trec_coarse_6600shot_balance,rougeL_recall,100,0.03,0.04,-0.010000000000000002
D.TTL,icl_trec_coarse_6600shot_balance,rougeLsum_f1,100,0.00527485380116959,0.006575163398692811,-0.0013003095975232205
D.TTL,icl_trec_coarse_6600shot_balance,rougeLsum_recall,100,0.03,0.04,-0.010000000000000002
D.TTL,icl_trec_coarse_6600shot_balance,substring_exact_match,100,0.1,0.15,-0.04999999999999999
D.TTL,icl_trec_fine_6400shot_balance,exact_match,100,0.0,0.0,0.0
D.TTL,icl_trec_fine_6400shot_balance,f1,100,0.0018181818181818182,0.0,0.0018181818181818182
D.TTL,icl_trec_fine_6400shot_balance,rougeL_f1,100,0.00210989010989011,0.0,0.00210989010989011
D.TTL,icl_trec_fine_6400shot_balance,rougeL_recall,100,0.02,0.0,0.02
D.TTL,icl_trec_fine_6400shot_balance,rougeLsum_f1,100,0.00210989010989011,0.0,0.00210989010989011
D.TTL,icl_trec_fine_6400shot_balance,rougeLsum_recall,100,0.02,0.0,0.02
D.TTL,icl_trec_fine_6400shot_balance,substring_exact_match,100,0.02,0.02,0.0
LongMemEval Oracle,GLOBAL,accuracy,500,0.634,0.202,0.432
LongMemEval Oracle,knowledge-update,accuracy,78,0.884615,0.320513,0.5641020000000001
LongMemEval Oracle,multi-session,accuracy,133,0.413534,0.12782,0.285714
LongMemEval Oracle,single-session-assistant,accuracy,56,0.839286,0.142857,0.696429
LongMemEval Oracle,single-session-preference,accuracy,30,0.933333,0.766667,0.16666599999999998
LongMemEval Oracle,single-session-user,accuracy,70,0.914286,0.128571,0.785715
LongMemEval Oracle,temporal-reasoning,accuracy,133,0.406015,0.142857,0.263158
